日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.009108,0.009149,0.009211,0.009021,5.13M,0.45%
2019年6月10日,0.008471,0.009108,0.009294,0.008411,8.54M,7.53%
2019年6月9日,0.009054,0.008471,0.009065,0.008383,8.58M,-6.44%
2019年6月8日,0.009342,0.009054,0.009383,0.008843,7.25M,-3.08%
2019年6月7日,0.009014,0.009342,0.009482,0.008991,8.05M,3.64%
2019年6月6日,0.008680,0.009014,0.009017,0.008505,9.51M,3.85%
2019年6月5日,0.008521,0.008680,0.008871,0.008460,6.25M,1.86%
2019年6月4日,0.009266,0.008521,0.009266,0.008408,11.74M,-8.03%
2019年6月3日,0.010167,0.009266,0.010167,0.009192,11.01M,-8.87%
2019年6月2日,0.010125,0.010167,0.010369,0.010074,7.66M,0.42%
2019年6月1日,0.010007,0.010125,0.010252,0.009820,8.62M,1.18%
2019年5月31日,0.009607,0.010007,0.010063,0.009304,8.58M,4.16%
2019年5月30日,0.010488,0.009607,0.011031,0.009081,17.48M,-8.40%
2019年5月29日,0.010631,0.010488,0.010744,0.009959,13.18M,-1.34%
2019年5月28日,0.011117,0.010631,0.011250,0.010559,9.78M,-4.37%
2019年5月27日,0.010883,0.011117,0.011305,0.010700,16.38M,2.15%
2019年5月26日,0.010985,0.010883,0.011127,0.010369,14.06M,-0.93%
2019年5月25日,0.010761,0.010985,0.011740,0.010760,12.20M,2.08%
2019年5月24日,0.011244,0.010761,0.011575,0.010719,9.92M,-4.29%
2019年5月23日,0.010658,0.011244,0.011283,0.010241,4.91M,5.46%
2019年5月22日,0.010860,0.010662,0.011620,0.010248,11.76M,-1.82%
2019年5月21日,0.010393,0.010860,0.010976,0.010322,5.96M,4.49%
2019年5月20日,0.010971,0.010393,0.011417,0.010199,14.63M,-5.27%
2019年5月19日,0.009236,0.010971,0.011544,0.009226,17.56M,18.79%
2019年5月18日,0.009717,0.009236,0.009816,0.009225,6.97M,-4.90%
2019年5月17日,0.010511,0.009712,0.010994,0.008699,25.69M,-7.60%
2019年5月16日,0.010285,0.010511,0.012233,0.009613,37.42M,2.20%
2019年5月15日,0.007885,0.010285,0.010295,0.007795,48.99M,30.44%
2019年5月14日,0.007280,0.007885,0.007977,0.007257,19.67M,8.30%
2019年5月13日,0.007154,0.007280,0.007825,0.007095,14.89M,1.77%
2019年5月12日,0.007500,0.007154,0.007709,0.006999,9.28M,-4.62%
2019年5月11日,0.007066,0.007500,0.007811,0.006993,15.27M,6.15%
2019年5月10日,0.006325,0.007066,0.007271,0.006313,8.27M,11.72%
2019年5月9日,0.006780,0.006325,0.006859,0.006322,10.49M,-6.72%
2019年5月8日,0.006755,0.006780,0.007026,0.006627,7.37M,0.37%
2019年5月7日,0.007120,0.006755,0.007315,0.006752,5.58M,-5.12%
2019年5月6日,0.007073,0.007120,0.007409,0.006962,4.51M,0.66%
2019年5月5日,0.007085,0.007073,0.007249,0.006958,4.17M,-0.17%
2019年5月4日,0.007405,0.007085,0.007516,0.006980,4.74M,-4.32%
2019年5月3日,0.007442,0.007405,0.007672,0.007181,9.63M,-0.50%
2019年5月2日,0.007480,0.007442,0.007579,0.007423,5.01M,-0.50%
2019年5月1日,0.007470,0.007480,0.007524,0.007345,3.96M,0.12%
2019年4月30日,0.007107,0.007470,0.007511,0.007022,6.34M,5.12%
2019年4月29日,0.007640,0.007107,0.007722,0.007045,7.28M,-6.98%
2019年4月28日,0.007792,0.007640,0.007885,0.007571,1.67M,-1.95%
2019年4月27日,0.007637,0.007792,0.007910,0.007600,3.15M,2.02%
2019年4月26日,0.007805,0.007637,0.008063,0.007447,9.27M,-2.15%
2019年4月25日,0.008189,0.007805,0.008255,0.007595,10.41M,-4.69%
2019年4月24日,0.008816,0.008189,0.008820,0.007943,5.01M,-7.12%
2019年4月23日,0.008397,0.008816,0.009221,0.008352,6.75M,4.99%
2019年4月22日,0.008165,0.008397,0.008565,0.008090,3.85M,2.84%
2019年4月21日,0.008482,0.008165,0.008528,0.008004,4.38M,-3.75%
2019年4月20日,0.008552,0.008483,0.008588,0.008421,1.91M,-0.81%
2019年4月19日,0.008624,0.008552,0.008636,0.008412,2.95M,-0.83%
2019年4月18日,0.008502,0.008624,0.008691,0.008497,2.82M,1.43%
2019年4月17日,0.008566,0.008502,0.008685,0.008426,2.93M,-0.75%
2019年4月16日,0.008158,0.008566,0.008627,0.008154,4.64M,5.00%
2019年4月15日,0.008826,0.008158,0.008854,0.008109,20.50M,-7.57%
2019年4月14日,0.008645,0.008826,0.008830,0.008477,4.85M,2.10%
2019年4月13日,0.008829,0.008645,0.009058,0.008469,3.72M,-2.09%
2019年4月12日,0.008580,0.008829,0.008845,0.008217,3.77M,2.91%
2019年4月11日,0.010081,0.008580,0.010086,0.008328,14.75M,-14.89%
2019年4月10日,0.009894,0.010081,0.010195,0.009613,9.62M,1.89%
2019年4月9日,0.010892,0.009894,0.011019,0.009530,9.57M,-9.16%
2019年4月8日,0.009624,0.010892,0.011205,0.009543,18.57M,13.18%
