日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,2.0640,2.1620,2.1870,2.0350,21.30K,4.75%
2019年6月9日,2.0810,2.0640,2.1410,2.0280,16.33K,-0.82%
2019年6月8日,2.0930,2.0810,2.1330,2.0360,27.55K,-0.76%
2019年6月7日,2.0570,2.0970,2.1770,2.0500,23.07K,1.94%
2019年6月6日,1.9590,2.0570,2.0790,1.9540,36.59K,5.00%
2019年6月5日,1.9420,1.9590,2.0130,1.9110,31.36K,0.88%
2019年6月4日,2.0840,1.9420,2.0870,1.8990,28.34K,-6.81%
2019年6月3日,2.2740,2.0840,2.2740,2.0810,23.09K,-8.36%
2019年6月2日,2.2360,2.2740,2.3350,2.2200,100.24K,1.70%
2019年6月1日,2.3320,2.2360,2.3660,2.2300,48.14K,-4.12%
2019年5月31日,2.3670,2.3320,2.4140,2.2600,31.83K,-1.48%
2019年5月30日,2.4160,2.3670,2.8890,2.2860,262.40K,-2.03%
2019年5月29日,2.2850,2.4160,2.4560,2.1760,100.50K,5.73%
2019年5月28日,2.3850,2.2850,2.3850,2.2600,54.03K,-4.19%
2019年5月27日,2.2060,2.3850,2.4000,2.2040,31.09K,8.11%
2019年5月26日,2.2120,2.2060,2.3000,2.1400,43.98K,-0.27%
2019年5月25日,2.1900,2.2120,2.2880,2.1530,17.54K,1.00%
2019年5月24日,2.1960,2.1900,2.3140,2.1780,17.78K,-0.27%
2019年5月23日,2.1920,2.1960,2.2520,2.0910,9.13K,0.18%
2019年5月22日,2.2460,2.1920,2.3350,2.1410,31.70K,-2.40%
2019年5月21日,2.1790,2.2460,2.2600,2.1360,26.12K,3.07%
2019年5月20日,2.1980,2.1790,2.2340,2.0970,27.55K,-0.86%
2019年5月19日,2.1750,2.1980,2.3120,2.1680,24.13K,1.06%
2019年5月18日,2.2870,2.1750,2.2900,2.1300,20.34K,-4.90%
2019年5月17日,2.2260,2.2870,2.2870,1.9570,47.94K,2.74%
2019年5月16日,2.3990,2.2260,2.5800,2.1830,141.19K,-7.21%
2019年5月15日,2.1230,2.3990,2.4180,2.1100,105.77K,13.00%
2019年5月14日,2.1490,2.1230,2.3490,2.0030,84.48K,-1.21%
2019年5月13日,1.9260,2.1490,2.3500,1.9110,104.01K,11.58%
2019年5月12日,1.9740,1.9260,2.1810,1.8660,49.33K,-2.43%
2019年5月11日,1.8690,1.9740,2.1150,1.8500,86.05K,5.62%
2019年5月10日,1.6770,1.8690,2.0160,1.6020,59.64K,11.45%
2019年5月9日,1.8090,1.6770,1.8190,1.6320,60.90K,-7.30%
2019年5月8日,1.8610,1.8090,1.8910,1.7920,35.27K,-2.79%
2019年5月7日,2.0560,1.8610,2.1150,1.8610,61.96K,-9.48%
