日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,2.4147,2.4477,2.4656,2.3988,4.71K,1.37%
2019年6月10日,2.3522,2.4147,2.4147,2.3051,6.37K,2.66%
2019年6月9日,2.3460,2.3522,2.4197,2.3388,2.41K,0.26%
2019年6月8日,2.3639,2.3460,2.4175,2.3229,2.04K,-0.75%
2019年6月7日,2.3758,2.3639,2.4193,2.3182,5.33K,-0.50%
2019年6月6日,2.3389,2.3758,2.4173,2.2815,4.57K,1.58%
2019年6月5日,2.3507,2.3389,2.4051,2.3028,3.98K,-0.50%
2019年6月4日,2.4495,2.3507,2.4537,2.3086,3.56K,-4.03%
2019年6月3日,2.6605,2.4495,2.6616,2.4488,8.77K,-7.93%
2019年6月2日,2.6461,2.6605,2.6895,2.6037,2.90K,0.55%
2019年6月1日,2.6500,2.6461,2.6759,2.5857,4.01K,-0.15%
2019年5月31日,2.5508,2.6500,2.6501,2.5389,10.06K,3.89%
2019年5月30日,2.6736,2.5508,2.7589,2.5300,16.19K,-4.59%
2019年5月29日,2.7737,2.6736,2.7737,2.6736,18.30K,-3.61%
2019年5月28日,2.7251,2.7737,2.8543,2.7071,8.33K,1.78%
2019年5月27日,2.7000,2.7251,2.8687,2.6592,17.57K,0.93%
2019年5月26日,2.7117,2.7000,2.7341,2.6093,8.04K,-0.43%
2019年5月25日,2.6781,2.7117,2.7684,2.6238,10.58K,1.26%
2019年5月24日,3.1253,2.6781,3.3426,2.6778,54.94K,-14.31%
2019年5月23日,2.3852,3.1253,3.1537,2.3257,18.29K,31.03%
2019年5月22日,2.4631,2.3852,2.5263,2.3527,5.74K,-3.16%
2019年5月21日,2.4319,2.4631,2.5289,2.3721,4.69K,1.28%
2019年5月20日,2.5344,2.4319,2.5344,2.3400,5.05K,-4.05%
2019年5月19日,2.3924,2.5344,2.5765,2.3876,6.71K,5.94%
2019年5月18日,2.4019,2.3924,2.4421,2.3113,4.81K,-0.40%
2019年5月17日,2.5207,2.4019,2.5210,2.2567,8.35K,-4.71%
2019年5月16日,2.6013,2.5207,2.7577,2.4571,11.22K,-3.10%
2019年5月15日,2.3744,2.6013,2.7018,2.3584,32.05K,9.55%
2019年5月14日,2.3833,2.3744,2.4431,2.3078,13.95K,-0.39%
2019年5月13日,2.4081,2.3837,2.5005,2.3278,6.18K,-1.01%
2019年5月12日,2.4535,2.4081,2.5376,2.3471,4.97K,-1.85%
2019年5月11日,2.2433,2.4535,2.5182,2.2433,14.44K,9.37%
2019年5月10日,2.3384,2.2433,2.3743,2.2077,8.57K,-4.07%
2019年5月9日,2.2092,2.3384,2.4242,2.1334,7.46K,5.85%
2019年5月8日,2.1244,2.2092,2.2433,2.0783,8.97K,3.99%
2019年5月7日,2.2162,2.1244,2.4476,2.1244,9.32K,-4.14%
2019年5月6日,2.1022,2.2162,2.2288,2.0735,1.74K,5.42%
2019年5月5日,2.1755,2.1022,2.1890,2.0585,5.51K,-3.37%
2019年5月4日,2.2496,2.1755,2.2927,2.1308,4.76K,-3.30%
2019年5月3日,2.2051,2.2496,2.2661,2.1834,3.74K,2.02%
2019年5月2日,2.2297,2.2051,2.2926,2.1856,2.31K,-1.10%
2019年5月1日,2.3186,2.2297,2.3186,2.2140,2.27K,-3.83%
2019年4月30日,2.1057,2.3186,2.3897,2.0804,9.79K,10.11%
2019年4月29日,2.1504,2.1057,2.1914,2.0532,7.88K,-2.08%
