日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.09872,0.09740,0.10055,0.09740,30.13K,-1.34%
2019年6月10日,0.08993,0.09872,0.09872,0.08951,57.60K,9.77%
2019年6月9日,0.10193,0.08993,0.10193,0.08776,53.88K,-11.77%
2019年6月8日,0.07593,0.10193,0.12902,0.07577,283.30K,34.24%
2019年6月7日,0.07197,0.07593,0.08365,0.07197,18.73K,5.51%
2019年6月6日,0.07220,0.07197,0.07317,0.07183,4.96K,-0.33%
2019年6月5日,0.07191,0.07220,0.07221,0.07190,3.52K,0.41%
2019年6月4日,0.07469,0.07191,0.07469,0.07191,41.81K,-3.72%
2019年6月3日,0.08035,0.07469,0.08341,0.07308,2.37K,-7.05%
2019年6月2日,0.07646,0.08035,0.08358,0.07646,41.07K,5.09%
2019年6月1日,0.07243,0.07646,0.07646,0.07239,0.46K,5.56%
2019年5月31日,0.07222,0.07243,0.07399,0.07222,0.90K,0.29%
2019年5月30日,0.08044,0.07222,0.08448,0.07104,40.87K,-10.22%
2019年5月29日,0.08230,0.08044,0.08410,0.07415,19.48K,-2.25%
2019年5月28日,0.07212,0.08230,0.08233,0.07212,11.61K,14.11%
2019年5月27日,0.07676,0.07212,0.07749,0.07180,19.12K,-6.04%
2019年5月26日,0.07778,0.07676,0.08358,0.07406,29.02K,-1.31%
2019年5月25日,0.07547,0.07778,0.08796,0.07475,60.65K,3.06%
2019年5月24日,0.06620,0.07547,0.07547,0.06620,70.01K,14.00%
2019年5月23日,0.06784,0.06620,0.06854,0.06613,0.16K,-2.42%
2019年5月22日,0.06813,0.06784,0.07239,0.06782,0.22K,-0.43%
2019年5月21日,0.06676,0.06813,0.07362,0.06676,3.01K,2.05%
2019年5月20日,0.06945,0.06676,0.06998,0.06394,45.93K,-3.87%
2019年5月19日,0.06654,0.06945,0.07097,0.06654,121.87K,4.37%
2019年5月18日,0.06852,0.06654,0.07018,0.06654,62.67K,-2.88%
2019年5月17日,0.07449,0.06852,0.07449,0.06255,256.63K,-8.03%
2019年5月16日,0.06684,0.07449,0.08351,0.06683,213.85K,11.46%
2019年5月15日,0.06277,0.06684,0.07127,0.06277,75.00K,6.48%
2019年5月14日,0.06123,0.06277,0.06908,0.06109,96.77K,2.52%
2019年5月13日,0.06173,0.06123,0.06530,0.06123,48.32K,-0.82%
2019年5月12日,0.06497,0.06173,0.06615,0.06167,62.79K,-4.98%
2019年5月11日,0.06562,0.06497,0.06810,0.06159,1.44M,-0.99%
2019年5月10日,0.06092,0.06562,0.06562,0.06092,291.07K,7.71%
2019年5月9日,0.06552,0.06092,0.06578,0.06034,35.14K,-7.01%
2019年5月8日,0.06595,0.06552,0.06908,0.06527,14.76K,-0.66%
2019年5月7日,0.07695,0.06595,0.07695,0.06595,26.64K,-14.30%
2019年5月6日,0.06812,0.07695,0.07696,0.06808,14.63K,12.96%
2019年5月5日,0.06672,0.06812,0.06812,0.06607,24.56K,2.10%
2019年5月4日,0.07004,0.06672,0.07029,0.06672,29.70K,-4.74%
2019年5月3日,0.07301,0.07004,0.07301,0.07004,2.33K,-4.06%
2019年5月2日,0.07340,0.07301,0.07465,0.07228,14.12K,-0.54%
2019年5月1日,0.07550,0.07340,0.07577,0.07246,55.26K,-2.78%
