日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,80.03,78.27,80.29,77.50,1.68M,-2.21%
2019年6月10日,77.35,80.04,81.25,76.19,1.76M,3.48%
2019年6月9日,80.37,77.35,80.74,75.38,1.83M,-3.76%
2019年6月8日,83.14,80.37,84.16,79.99,1.59M,-3.33%
2019年6月7日,79.73,83.15,84.58,79.14,1.84M,4.27%
2019年6月6日,80.53,79.74,81.12,76.61,1.74M,-0.93%
2019年6月5日,77.69,80.48,80.72,76.53,2.31M,3.59%
2019年6月4日,84.01,77.69,86.86,75.80,2.74M,-7.52%
2019年6月3日,88.65,84.01,88.86,82.19,2.31M,-5.26%
2019年6月2日,86.12,88.67,89.44,85.48,1.86M,3.02%
2019年6月1日,90.21,86.08,92.36,83.72,2.44M,-4.58%
2019年5月31日,83.19,90.21,90.71,82.55,2.59M,8.42%
2019年5月30日,84.95,83.20,97.32,80.32,4.07M,-2.06%
2019年5月29日,85.25,84.95,88.21,79.26,2.96M,-0.35%
2019年5月28日,76.16,85.24,88.68,75.92,2.22M,11.94%
2019年5月27日,75.18,76.16,78.04,74.22,2.42M,1.29%
2019年5月26日,72.32,75.18,75.96,70.27,1.62M,3.96%
2019年5月25日,72.47,72.32,73.72,71.35,1.28M,-0.21%
2019年5月24日,71.95,72.47,74.53,71.31,1.61M,0.72%
2019年5月23日,69.79,71.95,72.26,67.64,2.01M,3.09%
2019年5月22日,74.47,69.79,75.48,69.20,2.01M,-6.28%
2019年5月21日,75.76,74.47,76.64,73.48,1.87M,-1.70%
2019年5月20日,77.81,75.76,77.81,72.13,2.16M,-2.63%
2019年5月19日,71.76,77.81,78.89,71.71,2.51M,8.42%
2019年5月18日,73.40,71.76,74.19,70.23,2.15M,-2.22%
2019年5月17日,75.06,73.40,76.01,66.31,4.36M,-2.22%
2019年5月16日,76.70,75.06,82.07,71.44,5.11M,-2.14%
2019年5月15日,67.93,76.70,77.46,67.76,2.72M,12.93%
2019年5月14日,63.57,67.92,68.55,63.04,2.79M,6.83%
2019年5月13日,60.86,63.57,66.00,60.02,2.26M,4.45%
2019年5月12日,63.87,60.86,64.96,58.71,2.60M,-4.76%
2019年5月11日,57.47,63.90,65.70,57.29,2.80M,11.20%
2019年5月10日,56.51,57.47,58.18,55.96,1.44M,1.70%
2019年5月9日,58.26,56.50,58.94,55.63,1.14M,-3.02%
2019年5月8日,57.96,58.26,58.53,56.74,1.20M,0.52%
2019年5月7日,60.11,57.96,61.77,57.62,2.34M,-3.61%
2019年5月6日,59.78,60.13,61.29,58.70,1.92M,0.65%
2019年5月5日,61.03,59.74,61.11,58.96,992.36K,-2.23%
2019年5月4日,62.83,61.10,64.23,58.85,1.40M,-2.75%
2019年5月3日,60.11,62.83,63.83,59.78,1.77M,4.48%
2019年5月2日,61.08,60.13,61.29,59.58,1.36M,-1.56%
2019年5月1日,60.48,61.08,61.58,59.58,1.08M,1.00%
2019年4月30日,57.91,60.48,60.80,57.28,1.35M,4.54%
2019年4月29日,60.53,57.86,60.83,57.20,1.34M,-4.54%
2019年4月28日,61.65,60.61,62.38,60.33,945.34K,-1.69%
2019年4月27日,61.89,61.65,62.71,60.37,824.14K,-0.37%
2019年4月26日,61.91,61.88,64.64,59.32,1.05M,-0.01%
2019年4月25日,65.21,61.89,66.27,60.78,1.03M,-5.08%
2019年4月24日,66.72,65.20,67.08,61.84,999.67K,-2.27%
2019年4月23日,68.91,66.72,70.59,66.72,1.10M,-3.16%
2019年4月22日,68.14,68.90,70.20,66.03,913.83K,1.11%
2019年4月21日,69.48,68.14,69.63,66.19,854.60K,-1.93%
2019年4月20日,69.36,69.48,69.95,68.38,854.99K,0.18%
2019年4月19日,70.39,69.36,70.46,68.94,993.70K,-1.47%
2019年4月18日,70.20,70.39,71.75,69.77,898.51K,0.27%
2019年4月17日,69.11,70.20,71.40,67.71,780.83K,1.57%
2019年4月16日,67.56,69.12,69.57,66.73,813.21K,2.31%
2019年4月15日,69.53,67.56,70.28,65.79,963.57K,-2.85%
2019年4月14日,69.14,69.54,70.09,66.94,841.23K,0.51%
2019年4月13日,71.15,69.19,71.26,68.32,873.13K,-2.76%
2019年4月12日,69.58,71.15,71.79,67.24,978.05K,2.26%
