日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,10.6398,10.4775,10.6788,10.3998,-,-1.38%
2019年6月10日,9.6436,10.6239,10.6789,9.5301,-,9.96%
2019年6月9日,10.0619,9.6613,10.1491,9.5324,-,-4.01%
2019年6月8日,10.2193,10.0650,10.3940,9.8731,-,-1.74%
2019年6月7日,9.7436,10.2435,10.4074,9.6698,-,5.17%
2019年6月6日,9.7091,9.7399,10.1602,9.2479,-,0.48%
2019年6月5日,9.6594,9.6931,9.9677,9.4611,-,0.30%
2019年6月4日,10.3725,9.6642,10.3725,9.3891,-,-7.39%
2019年6月3日,11.3652,10.4356,11.3652,10.2078,-,-8.18%
2019年6月2日,11.2266,11.3652,11.6822,11.1684,-,1.36%
2019年6月1日,10.7656,11.2131,11.6599,10.7046,-,4.18%
2019年5月31日,10.4814,10.7637,10.7637,10.2133,-,2.60%
2019年5月30日,11.2583,10.4907,11.7460,10.1812,-,-6.84%
2019年5月29日,10.9241,11.2614,11.8591,10.4867,-,3.04%
2019年5月28日,11.4753,10.9289,11.4890,10.8397,-,-4.65%
2019年5月27日,10.8270,11.4622,11.6196,10.7322,-,5.94%
2019年5月26日,10.9600,10.8194,11.1883,10.7420,-,-1.29%
2019年5月25日,11.2521,10.9609,11.5683,10.9309,-,-2.57%
2019年5月24日,11.5917,11.2498,11.8922,11.1706,-,-2.83%
2019年5月23日,11.4036,11.5771,11.7104,11.0957,-,1.32%
2019年5月22日,11.8416,11.4268,12.2046,11.2865,-,-3.71%
2019年5月21日,11.9496,11.8675,12.0756,11.6367,-,-0.61%
2019年5月20日,12.5680,11.9400,12.5714,11.5078,-,-5.06%
2019年5月19日,11.6549,12.5767,13.9934,11.6092,-,8.18%
2019年5月18日,12.3918,11.6252,12.4945,11.6115,-,-6.41%
2019年5月17日,12.7395,12.4210,12.8215,11.1684,-,-2.49%
2019年5月16日,12.9102,12.7381,13.6022,11.8730,-,-1.37%
2019年5月15日,12.5733,12.9154,13.6701,12.0652,-,2.80%
2019年5月14日,13.2767,12.5642,13.6556,11.9817,-,-5.41%
2019年5月13日,12.6805,13.2829,13.5189,12.5583,-,4.73%
2019年5月12日,12.2126,12.6827,13.3631,12.0144,-,3.27%
2019年5月11日,11.1992,12.2810,12.7802,11.1066,-,9.37%
2019年5月10日,11.9535,11.2290,12.5398,10.7257,-,-6.11%
2019年5月9日,11.5529,11.9592,13.1276,10.6863,-,2.41%
2019年5月8日,9.9964,11.6776,11.6776,9.8271,-,16.95%
2019年5月7日,9.7245,9.9849,10.4050,9.7245,-,2.82%
2019年5月6日,9.8570,9.7112,10.1914,9.6278,-,-1.53%
2019年5月5日,9.7044,9.8622,10.1450,9.1774,-,1.62%
2019年5月4日,9.0763,9.7054,9.7509,8.5265,-,7.00%
2019年5月3日,8.5385,9.0702,9.3026,8.4491,-,6.24%
2019年5月2日,8.3808,8.5376,8.8040,8.2881,-,1.85%
2019年5月1日,7.9395,8.3821,8.4395,7.9264,-,5.60%
2019年4月30日,7.5703,7.9374,8.0045,7.4432,-,4.85%
2019年4月29日,8.3633,7.5706,8.5141,7.4201,-,-9.59%
2019年4月28日,7.7599,8.3736,8.4982,7.6136,-,8.02%
2019年4月27日,7.6585,7.7517,7.8647,7.4848,-,1.19%
2019年4月26日,6.7242,7.6606,7.9170,6.6349,-,13.69%
2019年4月25日,7.1424,6.7382,7.6523,6.6917,-,-5.67%
2019年4月24日,7.3616,7.1429,7.6023,7.1156,-,-3.18%
2019年4月23日,7.2144,7.3773,7.9614,7.1829,-,2.26%
2019年4月22日,6.8760,7.2144,7.2198,6.8277,-,4.91%
2019年4月21日,7.0961,6.8767,7.1900,6.7952,-,-3.09%
2019年4月20日,7.2765,7.0961,7.6293,7.0374,-,-2.58%
2019年4月19日,7.2277,7.2839,7.4690,7.0756,-,0.79%
2019年4月18日,7.1932,7.2267,7.3167,7.0630,-,0.50%
2019年4月17日,7.1261,7.1908,7.4188,7.0113,-,0.87%
2019年4月16日,7.0204,7.1285,7.2041,6.8972,-,0.99%
2019年4月15日,7.4764,7.0585,7.5132,6.9461,-,-5.61%
2019年4月14日,7.5811,7.4778,7.6026,7.3085,-,-1.46%
2019年4月13日,7.8066,7.5884,7.8879,7.5274,-,-2.85%
2019年4月12日,7.9948,7.8107,8.0818,7.5081,-,-2.27%
2019年4月11日,7.9678,7.9921,8.5862,7.6357,-,0.31%
2019年4月10日,7.8222,7.9676,8.3193,7.7930,-,1.79%
2019年4月9日,8.2830,7.8278,8.2830,7.7939,-,-5.65%
2019年4月8日,7.8936,8.2969,8.6539,7.7593,-,4.98%
2019年4月7日,7.5394,7.9035,7.9551,7.5149,-,5.06%
2019年4月6日,7.7043,7.5231,7.8594,7.4092,-,-2.38%
2019年4月5日,7.3214,7.7061,7.8404,7.3155,-,5.50%
2019年4月4日,7.4996,7.3043,7.7540,7.2031,-,-2.59%
2019年4月3日,7.6463,7.4984,8.2690,7.2736,-,-2.09%
2019年4月2日,7.1324,7.6583,7.9432,7.1202,-,7.32%
2019年4月1日,6.9533,7.1358,7.3935,6.8797,-,2.63%
2019年3月31日,6.9511,6.9533,6.9981,6.8149,-,0.03%
2019年3月30日,7.0447,6.9509,7.0707,6.7924,-,-1.33%
2019年3月29日,6.8977,7.0447,7.1300,6.8811,-,2.13%
2019年3月28日,7.0009,6.8977,7.0942,6.8850,-,-1.47%
2019年3月27日,6.5893,7.0007,7.1610,6.5760,-,6.28%
2019年3月26日,6.5177,6.5871,6.7551,6.3476,-,1.10%
2019年3月25日,6.5730,6.5152,6.8595,6.5079,-,-0.89%
2019年3月24日,6.6258,6.5737,6.6512,6.5309,-,-0.79%
2019年3月23日,6.5877,6.6258,6.6345,6.4828,-,0.49%
2019年3月22日,6.8737,6.5934,6.8800,6.5864,-,-4.09%
2019年3月21日,7.0335,6.8746,7.2657,6.4709,-,-2.25%
2019年3月20日,7.0182,7.0330,7.1112,6.8885,-,0.15%
2019年3月19日,6.9186,7.0225,7.0264,6.7468,-,1.80%
2019年3月18日,6.5522,6.8981,6.9342,6.5481,-,5.28%
2019年3月17日,6.6430,6.5520,6.7472,6.4475,-,-1.44%
2019年3月16日,6.0952,6.6480,6.7033,6.0887,-,9.07%
2019年3月15日,6.3035,6.0952,6.3790,6.0649,-,-3.32%
2019年3月14日,5.8025,6.3047,6.4121,5.7818,-,8.58%
2019年3月13日,5.7679,5.8067,6.4109,5.6175,-,0.66%
2019年3月12日,5.5227,5.7684,6.9126,5.3903,-,4.40%
2019年3月11日,5.5341,5.5256,5.7012,5.4632,-,-0.21%
2019年3月10日,5.5990,5.5370,5.6160,5.4698,-,-1.06%
2019年3月9日,5.4230,5.5964,5.6401,5.4131,-,3.20%
2019年3月8日,5.4731,5.4230,5.6020,5.3704,-,-0.96%
2019年3月7日,5.5576,5.4757,5.6932,5.4512,-,-1.47%
2019年3月6日,5.6422,5.5574,5.6782,5.4390,-,-1.46%
2019年3月5日,5.2656,5.6399,6.2519,5.2274,-,7.04%
2019年3月4日,5.3923,5.2688,5.5661,5.1849,-,-2.28%
2019年3月3日,5.7183,5.3919,5.7466,5.3705,-,-5.75%
2019年3月2日,5.6014,5.7206,5.7820,5.5979,-,2.08%
2019年3月1日,5.8887,5.6042,6.0863,5.6020,-,-4.85%
2019年2月28日,5.3490,5.8899,5.9980,5.3197,-,10.14%
2019年2月27日,5.4419,5.3475,5.5151,5.1871,-,-1.79%
2019年2月26日,5.4233,5.4448,5.6797,5.4128,-,0.27%
2019年2月25日,5.1846,5.4300,5.4973,5.1819,-,4.56%
2019年2月24日,5.6133,5.1932,5.7667,4.9338,-,-7.48%
2019年2月23日,5.3694,5.6131,5.6746,5.2978,-,4.22%
2019年2月22日,5.2154,5.3859,5.5108,5.1990,-,3.26%
2019年2月21日,5.2571,5.2158,5.3868,5.1022,-,-0.93%
2019年2月20日,4.9505,5.2650,5.5088,4.8886,-,6.23%
2019年2月19日,4.9862,4.9562,5.4500,4.8948,-,-0.61%
2019年2月18日,4.6778,4.9867,5.0149,4.6510,-,6.57%
2019年2月17日,4.6480,4.6791,4.7502,4.5941,-,0.67%
2019年2月16日,4.5267,4.6480,4.7677,4.4902,-,2.84%
2019年2月15日,4.5651,4.5195,4.9222,4.5063,-,-1.08%
2019年2月14日,4.7632,4.5689,4.8668,4.5503,-,-4.12%
2019年2月13日,4.7134,4.7651,4.8282,4.6967,-,1.13%
2019年2月12日,4.5785,4.7120,4.7625,4.5305,-,2.86%
2019年2月11日,4.6505,4.5810,4.6638,4.4755,-,-1.48%
2019年2月10日,4.5063,4.6497,4.6523,4.4194,-,3.18%
2019年2月9日,4.5373,4.5063,4.5595,4.4381,-,-0.69%
2019年2月8日,4.0933,4.5375,4.6117,4.0872,-,10.98%
2019年2月7日,3.9654,4.0887,4.0936,3.9559,-,3.11%
2019年2月6日,3.9606,3.9654,4.2651,3.8148,-,0.21%
2019年2月5日,3.9856,3.9570,4.0355,3.8763,-,-0.71%
2019年2月4日,4.0958,3.9855,4.2819,3.9725,-,-2.65%
2019年2月3日,4.1245,4.0941,4.1361,4.0359,-,-0.58%
2019年2月2日,4.1886,4.1181,4.2055,4.0151,-,-1.77%
2019年2月1日,4.1196,4.1921,4.2480,4.0356,-,1.20%
2019年1月31日,4.3092,4.1423,4.3927,4.1048,-,-3.87%
2019年1月30日,4.2526,4.3092,4.3657,4.1853,-,1.44%
2019年1月29日,4.2695,4.2482,4.3140,4.0644,-,-0.54%
2019年1月28日,4.3593,4.2711,4.3911,3.9890,-,-2.12%
2019年1月27日,4.5562,4.3636,4.5633,4.2978,-,-4.28%
2019年1月26日,4.5854,4.5586,4.7629,4.5499,-,-0.59%
2019年1月25日,4.6622,4.5854,4.6925,4.5175,-,-1.62%
2019年1月24日,4.5394,4.6611,4.6622,4.4808,-,2.71%
2019年1月23日,4.6864,4.5382,4.7914,4.5031,-,-3.16%
2019年1月22日,4.6985,4.6864,4.8210,4.5011,-,-0.24%
2019年1月21日,4.7982,4.6978,5.0048,4.6263,-,-2.08%
