日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.021191,0.021978,0.022566,0.020738,-,3.52%
2019年6月9日,0.022823,0.021229,0.023323,0.020632,-,-7.01%
2019年6月8日,0.024413,0.022830,0.025177,0.021986,-,-6.39%
2019年6月7日,0.022252,0.024389,0.024580,0.021981,-,9.44%
2019年6月6日,0.020972,0.022286,0.022889,0.020227,-,5.96%
2019年6月5日,0.021540,0.021031,0.022272,0.020186,-,-2.80%
2019年6月4日,0.020309,0.021637,0.023646,0.019428,-,5.61%
2019年6月3日,0.021543,0.020488,0.022607,0.019594,-,-4.90%
2019年6月2日,0.019615,0.021543,0.021576,0.019573,-,9.86%
2019年6月1日,0.020051,0.019610,0.020168,0.019073,-,-2.21%
2019年5月31日,0.019021,0.020053,0.020135,0.018296,-,5.66%
2019年5月30日,0.020877,0.018979,0.022719,0.018337,-,-9.11%
2019年5月29日,0.021714,0.020882,0.021762,0.019845,-,-3.49%
2019年5月28日,0.020386,0.021637,0.021745,0.020214,-,6.26%
2019年5月27日,0.019785,0.020362,0.020709,0.019660,-,2.76%
2019年5月26日,0.020177,0.019815,0.020391,0.018679,-,-2.00%
2019年5月25日,0.019388,0.020219,0.020573,0.018845,-,4.52%
2019年5月24日,0.020091,0.019345,0.021320,0.019020,-,-3.60%
2019年5月23日,0.019784,0.020066,0.021026,0.019120,-,0.99%
2019年5月22日,0.020698,0.019869,0.021793,0.019201,-,-4.22%
2019年5月21日,0.017416,0.020744,0.021779,0.017341,-,19.20%
2019年5月20日,0.017962,0.017402,0.017967,0.016457,-,-3.19%
2019年5月19日,0.016952,0.017976,0.018312,0.016883,-,6.01%
2019年5月18日,0.017759,0.016957,0.017899,0.016769,-,-4.91%
2019年5月17日,0.019061,0.017832,0.019329,0.016438,-,-6.47%
2019年5月16日,0.020504,0.019066,0.022117,0.018160,-,-7.05%
2019年5月15日,0.018349,0.020513,0.020850,0.018289,-,11.63%
2019年5月14日,0.016272,0.018376,0.018485,0.016223,-,12.88%
2019年5月13日,0.016085,0.016279,0.017142,0.015924,-,1.15%
2019年5月12日,0.016307,0.016094,0.016914,0.015862,-,-1.86%
2019年5月11日,0.015646,0.016399,0.017031,0.015180,-,4.81%
2019年5月10日,0.015367,0.015646,0.015765,0.015062,-,1.80%
2019年5月9日,0.016680,0.015370,0.016812,0.015336,-,-7.68%
2019年5月8日,0.016378,0.016648,0.016989,0.015875,-,1.41%
2019年5月7日,0.017152,0.016416,0.017872,0.016411,-,-4.31%
2019年5月6日,0.016524,0.017155,0.017725,0.015675,-,3.68%
2019年5月5日,0.016557,0.016547,0.016824,0.016081,-,-0.07%
2019年5月4日,0.017777,0.016558,0.018011,0.016462,-,-6.85%
2019年5月3日,0.017974,0.017777,0.018361,0.017393,-,-1.10%
2019年5月2日,0.018212,0.017974,0.018294,0.017878,-,-1.30%
2019年5月1日,0.018171,0.018212,0.018512,0.017773,-,0.25%
2019年4月30日,0.017344,0.018166,0.018209,0.017160,-,4.73%
2019年4月29日,0.017933,0.017345,0.018261,0.016773,-,-3.40%
2019年4月28日,0.018366,0.017955,0.018568,0.017848,-,-2.30%
2019年4月27日,0.017585,0.018378,0.018862,0.017315,-,4.51%
2019年4月26日,0.017455,0.017585,0.018287,0.016869,-,0.54%
2019年4月25日,0.019166,0.017491,0.019375,0.016887,-,-8.36%
2019年4月24日,0.019882,0.019085,0.020073,0.017855,-,-4.37%
2019年4月23日,0.021075,0.019957,0.021616,0.019917,-,-5.31%
2019年4月22日,0.021095,0.021075,0.021721,0.020484,-,-0.12%
2019年4月21日,0.021921,0.021102,0.022040,0.020127,-,-3.74%
2019年4月20日,0.022319,0.021921,0.022534,0.021628,-,-1.86%
2019年4月19日,0.022255,0.022336,0.022616,0.021788,-,0.50%
2019年4月18日,0.021570,0.022225,0.022829,0.021570,-,3.04%
2019年4月17日,0.021359,0.021570,0.021978,0.021083,-,0.95%
2019年4月16日,0.020599,0.021368,0.021401,0.020249,-,3.41%
2019年4月15日,0.021267,0.020663,0.022210,0.020261,-,-2.86%
2019年4月14日,0.020542,0.021271,0.021408,0.020096,-,3.58%
